X,Y,LocationID,State
-150.1024677,61.53344603,44AK,AK
-149.6822533,61.62474387,9AK8,AK
-149.3107539,61.59408227,23AK,AK
-163.4127749,64.68919356,WMO,AK
-148.7196755,60.7771713,IEM,AK
-150.1094678,61.71722379,AK10,AK
-150.5375373,61.73494594,78AK,AK
-150.063354,61.71224047,25AK,AK
-150.5993651,61.70519316,AK72,AK
-150.338929,61.7655782,3AK7,AK
-150.0976929,61.72932102,AK69,AK
-150.0544678,61.72027936,AK68,AK
-149.9549262,61.69596549,07AA,AK
-150.5161706,61.64065706,35AK,AK
-150.0976624,61.87691267,02AK,AK
-150.1154845,61.74472101,AK90,AK
-150.0728012,61.73861269,AK67,AK
-150.1060623,61.78992101,AK08,AK
-150.0517623,61.75419047,UUO,AK
-150.6834512,61.72473481,0AK2,AK
-150.1209065,67.40510812,WSM,AK
-132.3698527,56.48433787,WRG,AK
-142.4955166,60.08085151,0AA1,AK
-138.4458991,59.1991369,A57,AK
-138.4888269,59.1643369,3AK,AK
-138.4088533,59.1262883,AK76,AK
-139.0337424,59.4143993,A67,AK
-139.5102439,59.55287422,A68,AK
-138.5041867,59.24960078,A69,AK
-139.6602905,59.5033254,YAK,AK
-156.3673844,63.0018685,A77,AK
-143.1341458,65.31152338,L20,AK
-85.23831267,31.60022816,0J0,AL
-87.15816335,34.21714809,2A8,AL
-87.71389399,32.84750612,AL03,AL
-86.78322708,33.177784,EET,AL
-86.25575477,34.22911758,8A0,AL
-85.96294905,32.9147562,ALX,AL
-88.19718025,33.1067506,AIV,AL
-86.39222688,31.30836694,79J,AL
-85.85811573,33.58817301,ANB,AL
-86.88328277,34.97908993,1M3,AL
-85.80896986,33.2842035,26A,AL
-86.21137001,33.83871611,AL60,AL
-87.44675494,31.01614462,0R1,AL
-85.43400444,32.61511726,AUO,AL
-87.81933837,30.87033902,1R8,AL
-88.21119957,30.45525558,5R7,AL
-86.92631046,33.31261736,EKY,AL
-86.75231042,33.56389519,BHM,AL
-86.98583271,33.54316824,AL40,AL
-86.63333153,34.12927032,AL29,AL
-86.08857138,34.14177312,8AL3,AL
-87.07778276,33.99083972,AL30,AL
-87.06597705,31.05083909,12J,AL
-88.1274774,32.1193115,09A,AL
-87.33911606,31.97975595,61A,AL
-85.64371848,34.3225954,AL32,AL
-85.61008791,34.08992313,PYP,AL
-85.56579845,34.10565924,AL27,AL
-87.09055215,32.93694505,0A8,AL
-86.6819217,31.68071868,5AL1,AL
-88.09258847,31.38858913,6AL6,AL
-88.1944318,31.45167269,5R1,AL
-86.61143726,32.85049063,02A,AL
-86.5138731,32.94596229,01AL,AL
-85.48522665,31.88333932,11A,AL
-86.59792148,33.24715902,1AL2,AL
-87.34892177,34.65942318,9A4,AL
-85.29917106,32.41611722,AL51,AL
-87.99633842,30.90914458,15A,AL
-86.85803272,34.26870089,CMD,AL
-87.82258836,30.59181118,4AL3,AL
-88.12747731,30.26049721,4R9,AL
-86.9453661,34.65406208,DCU,AL
-87.9540607,32.46383936,DYA,AL
-85.44947661,31.32103365,DHN,AL
-87.32775506,34.14431196,3M2,AL
-86.09034068,31.41004753,14J,AL
-87.54165383,30.46686866,7AL9,AL
-87.53528271,30.42445004,AL08,AL
-87.46387325,30.44186949,AL55,AL
-85.89983785,31.29972807,EDN,AL
-85.12892099,31.95131157,EUF,AL
-87.86508847,32.82042277,3A7,AL
-87.04336595,31.41500583,GZH,AL
-87.87703281,30.4605056,CQF,AL
-87.81521409,33.70911154,M95,AL
-85.68983797,34.74472882,4AL7,AL
-87.25278266,31.03222797,0AL5,AL
-86.31156573,31.04247939,0J4,AL
-87.63250519,34.85000654,0AL9,AL
-87.63526746,30.38909281,NBJ,AL
-87.76444944,30.37146947,02AL,AL
-87.7009772,30.42767226,5R4,AL
-87.65694941,30.44389449,0AL1,AL
-86.59164613,31.9723768,67A,AL
-85.66500461,34.3927843,2AL5,AL
-85.72139352,34.47370098,4A9,AL
-85.71335446,31.27578085,OZR,AL
-86.08908815,33.97265528,GAD,AL
-86.8674988,33.67622105,AL18,AL
-88.33337194,32.90846861,AL43,AL
-85.86894894,31.05263079,33J,AL
-87.66208563,32.68153942,7A0,AL
-86.52500471,31.80840594,68AL,AL
-86.61075474,31.84570039,PRN,AL
-86.52352971,31.80879205,71AL,AL
-87.76139256,31.68932976,3A0,AL
-87.67178275,30.28964445,JKA,AL
-86.26087505,34.40619569,8A1,AL
-86.4169365,34.65120738,AL10,AL
-87.60042182,34.28033975,1M4,AL
-87.99822747,34.11695082,HAB,AL
-86.72306044,34.06278419,2AL7,AL
-86.40359448,33.30734015,AL92,AL
-85.68528222,31.05042247,3AL1,AL
-85.68354861,31.08296164,AL62,AL
-86.93294941,34.4082287,5M0,AL
-86.77028245,34.86481685,00AL,AL
-86.64711603,34.91600659,M38,AL
-86.69231049,34.98047882,8AL7,AL
-85.31253213,31.36414477,0J6,AL
-85.75557686,34.58205378,6AL3,AL
-86.71000271,34.88564991,AL93,AL
-86.55753267,34.85936769,MDQ,AL
-86.77506049,34.63720097,HSV,AL
-86.67343823,34.49054817,4AL8,AL
-86.46097708,34.74736767,3M5,AL
-85.47178744,32.22134206,AL05,AL
-85.97728233,31.55503368,AL37,AL
-87.89590647,31.47056554,4R3,AL
-85.76392127,33.83531196,3AL5,AL
-87.31383838,33.90200635,JFX,AL
-86.16667125,31.25000583,5AL7,AL
-85.22965204,32.81192509,7A3,AL
-86.29389355,31.9747282,4AL9,AL
-87.4708177,30.42659227,AL88,AL
-87.723755,30.65320009,57AL,AL
-87.74778278,30.63639453,1AL5,AL
-87.70443749,30.61964203,AL35,AL
-87.67056887,30.64512509,AL97,AL
-86.26245928,31.73639288,04A,AL
-85.43939326,31.06450581,7AL7,AL
-87.77777195,30.4240917,2AL1,AL
-86.8699932,32.84874309,AL76,AL
-87.38478277,32.51050606,A08,AL
-85.59229765,34.5408635,AL09,AL
-88.06808842,30.6267834,BFM,AL
-88.24283848,30.6914223,MOB,AL
-88.27972737,30.63139451,26AL,AL
-88.37196073,30.68353007,62AL,AL
-87.35103271,31.45806139,MVC,AL
-86.85138265,33.15290122,5AL3,AL
-86.12496768,32.35847857,AL12,AL
-86.36578248,32.38295051,MXF,AL
-86.39397692,32.30064494,MGM,AL
-86.47444924,33.61111744,1AL8,AL
-87.38613788,34.44704646,AL34,AL
-87.63702592,32.96949642,AL44,AL
-87.65278297,34.69111761,5AL5,AL
-87.6102274,34.74531207,MSL,AL
-86.412477,33.65678412,3AL6,AL
